edge_id,source_node_id,target_node_id,relationship_type,direction,weight,source,method,confidence,evidence_json,notes
tz_1mvwF0Vfb88Ad0u_CxGgLZ__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0021_D0A7D8D3,tz_1mvwF0Vfb88Ad0u_CxGgLZ,ez_ZN_0021_D0A7D8D3,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_0qZtwNut1C6QT5uDplIctO,floor_basement,tz_0qZtwNut1C6QT5uDplIctO,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_0qZtwNut1C6QT5uDplIctO__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0022_CCAC5F6A,tz_0qZtwNut1C6QT5uDplIctO,ez_ZN_0022_CCAC5F6A,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_0tWM7C8ybBZQ4c5DL1_lzg,floor_level_01,tz_0tWM7C8ybBZQ4c5DL1_lzg,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_0tWM7C8ybBZQ4c5DL1_lzg__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0023_A8AB6EC0,tz_0tWM7C8ybBZQ4c5DL1_lzg,ez_ZN_0023_A8AB6EC0,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_2EmhthfYTF_hx0gAAa2KtI,floor_level_01,tz_2EmhthfYTF_hx0gAAa2KtI,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2EmhthfYTF_hx0gAAa2KtI__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0024_2C71F249,tz_2EmhthfYTF_hx0gAAa2KtI,ez_ZN_0024_2C71F249,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_3jCS7E4Nb3qBkgP0MIotWt,floor_level_01,tz_3jCS7E4Nb3qBkgP0MIotWt,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3jCS7E4Nb3qBkgP0MIotWt__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0025_1AA93AF2,tz_3jCS7E4Nb3qBkgP0MIotWt,ez_ZN_0025_1AA93AF2,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_3jCS7E4Nb3qBkgP0MIoqPQ,floor_level_01,tz_3jCS7E4Nb3qBkgP0MIoqPQ,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
