ifc_global_id,ifc_class,kind,field,value,status
3Sg96Yq1H0KeIY_4TWSyoh,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3Sg96Yq1H0KeIY_4TWSyoh,IfcElectricDistributionBoard,board,phase_count,3.0,present
3Sg96Yq1H0KeIY_4TWSyoh,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3Sg96Yq1H0KeIY_4TWSyoh,IfcElectricDistributionBoard,board,system_code,S0301,present
3Sg96Yq1H0KeIY_4TWSyoW,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3Sg96Yq1H0KeIY_4TWSyoW,IfcElectricDistributionBoard,board,phase_count,1.0,present
3Sg96Yq1H0KeIY_4TWSyoW,IfcElectricDistributionBoard,board,rated_current_a,,missing
3Sg96Yq1H0KeIY_4TWSyoW,IfcElectricDistributionBoard,board,system_code,D0101,present
3Sg96Yq1H0KeIY_4TWSyoZ,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3Sg96Yq1H0KeIY_4TWSyoZ,IfcElectricDistributionBoard,board,phase_count,3.0,present
3Sg96Yq1H0KeIY_4TWSyoZ,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3Sg96Yq1H0KeIY_4TWSyoZ,IfcElectricDistributionBoard,board,system_code,S0301,present
3Sg96Yq1H0KeIY_4TWSyoY,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3Sg96Yq1H0KeIY_4TWSyoY,IfcElectricDistributionBoard,board,phase_count,3.0,present
3Sg96Yq1H0KeIY_4TWSyoY,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3Sg96Yq1H0KeIY_4TWSyoY,IfcElectricDistributionBoard,board,system_code,S0301,present
3Sg96Yq1H0KeIY_4TWSyob,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3Sg96Yq1H0KeIY_4TWSyob,IfcElectricDistributionBoard,board,phase_count,3.0,present
3Sg96Yq1H0KeIY_4TWSyob,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3Sg96Yq1H0KeIY_4TWSyob,IfcElectricDistributionBoard,board,system_code,S0301,present
3Sg96Yq1H0KeIY_4TWSyoa,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3Sg96Yq1H0KeIY_4TWSyoa,IfcElectricDistributionBoard,board,phase_count,1.0,present
3Sg96Yq1H0KeIY_4TWSyoa,IfcElectricDistributionBoard,board,rated_current_a,,missing
3Sg96Yq1H0KeIY_4TWSyoa,IfcElectricDistributionBoard,board,system_code,D0101,present
3Sg96Yq1H0KeIY_4TWSyoS,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3Sg96Yq1H0KeIY_4TWSyoS,IfcElectricDistributionBoard,board,phase_count,1.0,present
3Sg96Yq1H0KeIY_4TWSyoS,IfcElectricDistributionBoard,board,rated_current_a,,missing
3Sg96Yq1H0KeIY_4TWSyoS,IfcElectricDistributionBoard,board,system_code,D0101,present
3Sg96Yq1H0KeIY_4TWSyoV,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3Sg96Yq1H0KeIY_4TWSyoV,IfcElectricDistributionBoard,board,phase_count,1.0,present
3Sg96Yq1H0KeIY_4TWSyoV,IfcElectricDistributionBoard,board,rated_current_a,,missing
3Sg96Yq1H0KeIY_4TWSyoV,IfcElectricDistributionBoard,board,system_code,D0101,present
0BApDNy4b68xPmOWc6gBjW,IfcElectricDistributionBoard,board,voltage_v,400.0,present
0BApDNy4b68xPmOWc6gBjW,IfcElectricDistributionBoard,board,phase_count,3.0,present
0BApDNy4b68xPmOWc6gBjW,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
0BApDNy4b68xPmOWc6gBjW,IfcElectricDistributionBoard,board,system_code,S0301,present
0BApDNy4b68xPmOWc6g5bB,IfcElectricDistributionBoard,board,voltage_v,400.0,present
0BApDNy4b68xPmOWc6g5bB,IfcElectricDistributionBoard,board,phase_count,3.0,present
0BApDNy4b68xPmOWc6g5bB,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
0BApDNy4b68xPmOWc6g5bB,IfcElectricDistributionBoard,board,system_code,S0301,present
0BApDNy4b68xPmOWc6g7w6,IfcElectricDistributionBoard,board,voltage_v,400.0,present
0BApDNy4b68xPmOWc6g7w6,IfcElectricDistributionBoard,board,phase_count,3.0,present
0BApDNy4b68xPmOWc6g7w6,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
0BApDNy4b68xPmOWc6g7w6,IfcElectricDistributionBoard,board,system_code,S0301,present
0BApDNy4b68xPmOWc6g7wd,IfcElectricDistributionBoard,board,voltage_v,400.0,present
0BApDNy4b68xPmOWc6g7wd,IfcElectricDistributionBoard,board,phase_count,3.0,present
0BApDNy4b68xPmOWc6g7wd,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
0BApDNy4b68xPmOWc6g7wd,IfcElectricDistributionBoard,board,system_code,S0301,present
2CLLxwql1ENgOMn$rShACC,IfcElectricDistributionBoard,board,voltage_v,230.0,present
2CLLxwql1ENgOMn$rShACC,IfcElectricDistributionBoard,board,phase_count,1.0,present
2CLLxwql1ENgOMn$rShACC,IfcElectricDistributionBoard,board,rated_current_a,,missing
2CLLxwql1ENgOMn$rShACC,IfcElectricDistributionBoard,board,system_code,D0101,present
2CLLxwql1ENgOMn$rShACR,IfcElectricDistributionBoard,board,voltage_v,400.0,present
2CLLxwql1ENgOMn$rShACR,IfcElectricDistributionBoard,board,phase_count,3.0,present
2CLLxwql1ENgOMn$rShACR,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
2CLLxwql1ENgOMn$rShACR,IfcElectricDistributionBoard,board,system_code,S0301,present
3B_HSwvvv2twUmnPkefFAX,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFAX,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFAf,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFAf,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFBH,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFBH,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFBj,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFBj,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFBi,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFBi,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFBl,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFBl,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFCI,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFCI,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFCT,IfcAlarm,alarm,voltage_v,230.0,present
3B_HSwvvv2twUmnPkefFCT,IfcAlarm,alarm,system_code,T0401,present
3B_HSwvvv2twUmnPkefFCS,IfcAlarm,alarm,voltage_v,230.0,present
