edge_id,source_node_id,target_node_id,relationship_type,direction,weight,source,method,confidence,evidence_json,notes
cab_3Sg96Yq1H0KeIY_4TWSzCD__OBJECT_ASSIGNED_TO_ZONE__tz_3M4BY9f2fEkQXYemrsO175,cab_3Sg96Yq1H0KeIY_4TWSzCD,tz_3M4BY9f2fEkQXYemrsO175,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""0.74""}",
cab_3Sg96Yq1H0KeIY_4TWSzCC__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzCC,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzCC__OBJECT_ASSIGNED_TO_ZONE__tz_3nyidG4wTF_9_mvrir11rr,cab_3Sg96Yq1H0KeIY_4TWSzCC,tz_3nyidG4wTF_9_mvrir11rr,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.19""}",
cab_3Sg96Yq1H0KeIY_4TWSzC1__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzC1,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzC1__OBJECT_ASSIGNED_TO_ZONE__tz_0Q4MSUQx531vKL_w06AgFP,cab_3Sg96Yq1H0KeIY_4TWSzC1,tz_0Q4MSUQx531vKL_w06AgFP,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""2.45""}",
cab_3Sg96Yq1H0KeIY_4TWSzC0__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzC0,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzC0__OBJECT_ASSIGNED_TO_ZONE__tz_1BI3W4_qjCRul28Xx_mFxa,cab_3Sg96Yq1H0KeIY_4TWSzC0,tz_1BI3W4_qjCRul28Xx_mFxa,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.61""}",
cab_3Sg96Yq1H0KeIY_4TWSzC2__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzC2,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzC2__OBJECT_ASSIGNED_TO_ZONE__tz_1ihDn_IqL2a8bCCZUoYphL,cab_3Sg96Yq1H0KeIY_4TWSzC2,tz_1ihDn_IqL2a8bCCZUoYphL,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""1.93""}",
cab_3Sg96Yq1H0KeIY_4TWSzDx__OBJECT_LOCATED_ON_FLOOR__floor_level_04,cab_3Sg96Yq1H0KeIY_4TWSzDx,floor_level_04,OBJECT_LOCATED_ON_FLOOR,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,high,{},
cab_3Sg96Yq1H0KeIY_4TWSzDx__OBJECT_ASSIGNED_TO_ZONE__tz_3PHN3kec17q9UkUqax50dk,cab_3Sg96Yq1H0KeIY_4TWSzDx,tz_3PHN3kec17q9UkUqax50dk,OBJECT_ASSIGNED_TO_ZONE,directed,,ifc_ele,ifc_storey_containment+nearest_space_centroid,medium,"{""distance_m"": ""3.68""}",
