node_id,node_type,name,label,source_system,source_file,ifc_global_id,eplus_name,xeokit_object_id,zone_id,floor_id,room_id,coordinates,properties_json,value_class,confidence,notes
board_3Sg96Yq1H0KeIY_4TWSz7V,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSz7V,,,,floor_level_02,,"[39.576, 57.647, 59.7]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSz7U,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSz7U,,,,floor_level_02,,"[65.229, 73.863, 59.7]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSz7H,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSz7H,,,,floor_level_02,,"[64.659, 75.095, 59.7]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSz79,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSz79,,,,floor_level_02,,"[39.989, 56.404, 59.7]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSz78,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSz78,,,,floor_level_02,,"[40.62, 56.94, 59.7]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_2ILcbW7IvEOAriHq5LuDGn,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,2ILcbW7IvEOAriHq5LuDGn,,,,floor_level_03,,"[22.075, 40.713, 63.65]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_0irh5V91zCcfh8lHZeV4Fq,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,0irh5V91zCcfh8lHZeV4Fq,,,,floor_level_03,,"[22.898, 41.849, 63.65]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3JIKR4ApD9Zubrv_yC0GIX,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3JIKR4ApD9Zubrv_yC0GIX,,,,floor_level_03,,"[39.461, 57.551, 63.65]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3JIKR4ApD9Zubrv_yC0GIg,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3JIKR4ApD9Zubrv_yC0GIg,,,,floor_level_03,,"[39.576, 57.647, 63.65]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_0ySY4lCdb6wP8OlE3GnJKj,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,0ySY4lCdb6wP8OlE3GnJKj,,,,floor_level_03,,"[65.229, 73.863, 63.65]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_0ySY4lCdb6wP8OlE3GnJLh,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,0ySY4lCdb6wP8OlE3GnJLh,,,,floor_level_03,,"[64.659, 75.095, 63.65]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3nAqxWAvT6Kwm_Yz__pXOi,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3nAqxWAvT6Kwm$Yz_$pXOi,,,,floor_level_03,,"[39.989, 56.404, 63.65]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3nAqxWAvT6Kwm_Yz__pXOI,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3nAqxWAvT6Kwm$Yz_$pXOI,,,,floor_level_03,,"[40.62, 56.94, 63.65]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSyoh,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSyoh,,,,floor_level_04,,"[22.075, 40.713, 67.6]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSyoW,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSyoW,,,,floor_level_04,,"[22.898, 41.849, 67.6]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSyoZ,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSyoZ,,,,floor_level_04,,"[39.461, 57.551, 67.6]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSyoY,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSyoY,,,,floor_level_04,,"[39.576, 57.647, 67.6]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSyob,ElectricalBoard,-,RKE01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSyob,,,,floor_level_04,,"[65.229, 73.863, 67.6]","{""device_tag"": ""RKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSyoa,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSyoa,,,,floor_level_04,,"[64.659, 75.095, 67.6]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSyoS,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSyoS,,,,floor_level_04,,"[39.989, 56.404, 67.6]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_3Sg96Yq1H0KeIY_4TWSyoV,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3Sg96Yq1H0KeIY_4TWSyoV,,,,floor_level_04,,"[40.62, 56.94, 67.6]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
board_0BApDNy4b68xPmOWc6gBjW,ElectricalBoard,-,RKE08,ifc_ele,ELE_enriched.ifc,0BApDNy4b68xPmOWc6gBjW,,,,floor_level_05,,"[23.708, 39.332, 71.92]","{""device_tag"": ""RKE08"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_0BApDNy4b68xPmOWc6g5bB,ElectricalBoard,-,VVK01,ifc_ele,ELE_enriched.ifc,0BApDNy4b68xPmOWc6g5bB,,,,floor_level_05,,"[43.289, 50.59, 71.92]","{""device_tag"": ""VVK01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_0BApDNy4b68xPmOWc6g7w6,ElectricalBoard,-,RKE09,ifc_ele,ELE_enriched.ifc,0BApDNy4b68xPmOWc6g7w6,,,,floor_level_05,,"[46.938, 53.688, 71.92]","{""device_tag"": ""RKE09"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
