load_point_id,circuit_id,board_id,category,system_code,mapping_method,mapping_confidence
lp_3_ByyJkVb0MvxwXE6aBe0p,circuit_board_1WxTmsBPD4Sf77udYi3J3n_lights,board_1WxTmsBPD4Sf77udYi3J3n,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe0Z,circuit_board_1BFJi9GR9EgeQt8GQ9AYuy_lights,board_1BFJi9GR9EgeQt8GQ9AYuy,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe1K,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe1O,circuit_board_1BFJi9GR9EgeQt8GQ9AWs2_lights,board_1BFJi9GR9EgeQt8GQ9AWs2,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe1P,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe16,circuit_board_0YlieLMgD4O9YRLNjlwdJN_lights,board_0YlieLMgD4O9YRLNjlwdJN,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe17,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe1B,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_3_ByyJkVb0MvxwXE6aBe18,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw__L,circuit_board_1BFJi9GR9EgeQt8GQ9AUhL_lights,board_1BFJi9GR9EgeQt8GQ9AUhL,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw__d,circuit_board_1BFJi9GR9EgeQt8GQ9AUhL_lights,board_1BFJi9GR9EgeQt8GQ9AUhL,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw__v,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw__B,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw__V,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw__k,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw__Y,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_m8,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_m7,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_m6,circuit_board_3N5QrrVL56chghraBSbwdo_lights,board_3N5QrrVL56chghraBSbwdo,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_pm,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_qF,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_qE,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_qD,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_qC,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_qB,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_q1,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_q0,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_qV,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_2QJO8l4KbAWQiM_bbAw_qU,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,board_1T4Dk9Ojj9rOi06EMenZ3N,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJu5,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJu2,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJuN,circuit_board_0YlieLMgD4O9YRLNjlwdJN_lights,board_0YlieLMgD4O9YRLNjlwdJN,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJuK,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJuc,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJud,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJua,circuit_board_0YlieLMgD4O9YRLNjlwdJN_lights,board_0YlieLMgD4O9YRLNjlwdJN,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJub,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJux,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJuu,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJuv,circuit_board_0YlieLMgD4O9YRLNjlwdJN_lights,board_0YlieLMgD4O9YRLNjlwdJN,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJus,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJut,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJuq,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJur,circuit_board_0YlieLMgD4O9YRLNjlwdJN_lights,board_0YlieLMgD4O9YRLNjlwdJN,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJuo,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJv6,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJv7,circuit_board_1WxTmsBPD4Sf77udYi3J2P_lights,board_1WxTmsBPD4Sf77udYi3J2P,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJv4,circuit_board_0YlieLMgD4O9YRLNjlwdJN_lights,board_0YlieLMgD4O9YRLNjlwdJN,lights,S0301,system_code+floor+nearest,medium
lp_26ja02sJrBp8cwCKX0jJv5,circuit_board_0YlieLMgD4O9YRLNjlwdJu_lights,board_0YlieLMgD4O9YRLNjlwdJu,lights,S0301,system_code+floor+nearest,medium
